Date,Close,High,Low,Open,Volume,stock
2025-10-27,1504.5,1515.300048828125,1498.0999755859375,1510.0,7273211,INFY
2025-10-28,1500.199951171875,1506.5,1490.5,1499.699951171875,8211019,INFY
2025-10-29,1510.4000244140625,1520.199951171875,1496.9000244140625,1500.199951171875,4884976,INFY
2025-10-30,1493.800048828125,1508.199951171875,1489.0999755859375,1507.0,5608867,INFY
2025-10-31,1482.300048828125,1497.0999755859375,1480.699951171875,1490.0,4819814,INFY
2025-11-03,1485.5,1491.4000244140625,1474.199951171875,1482.300048828125,5470600,INFY
2025-11-04,1467.9000244140625,1481.9000244140625,1462.9000244140625,1479.699951171875,8691330,INFY
2025-11-06,1466.699951171875,1483.0,1461.9000244140625,1478.5999755859375,7944752,INFY
2025-11-07,1476.800048828125,1480.9000244140625,1449.0999755859375,1470.0,8765759,INFY
2025-11-10,1513.5,1520.0,1490.0,1490.0999755859375,9787975,INFY
2025-11-11,1530.300048828125,1533.4000244140625,1511.0999755859375,1525.0,13692989,INFY
2025-11-12,1551.699951171875,1559.199951171875,1538.0999755859375,1540.0,14635417,INFY
2025-11-13,1541.800048828125,1557.5,1530.300048828125,1557.0999755859375,19655689,INFY
2025-11-14,1502.800048828125,1530.0,1488.800048828125,1520.0,9739549,INFY
2025-11-17,1507.5999755859375,1510.199951171875,1492.5,1496.0,7910354,INFY
2025-11-18,1486.4000244140625,1506.0,1483.199951171875,1506.0,7525119,INFY
2025-11-19,1541.0999755859375,1543.0,1490.5,1490.5,10981126,INFY
2025-11-20,1536.5,1555.0,1534.0,1555.0,7387584,INFY
2025-11-21,1545.0,1551.5,1526.300048828125,1531.0,9186302,INFY
2025-11-24,1548.0,1585.0,1541.0,1563.5999755859375,19270381,INFY
2025-11-25,1530.5999755859375,1550.5999755859375,1525.9000244140625,1549.0,8107952,INFY
2025-11-26,1557.9000244140625,1560.300048828125,1532.0999755859375,1532.0999755859375,7575038,INFY
2025-11-27,1566.4000244140625,1574.300048828125,1552.199951171875,1564.0,7552252,INFY
2025-11-28,1560.0999755859375,1568.4000244140625,1557.0,1565.0,4453221,INFY
2025-12-01,1564.0,1574.0,1556.0,1562.5,5341800,INFY
2025-12-02,1561.0,1579.9000244140625,1556.0999755859375,1567.0,6335969,INFY
2025-12-03,1578.699951171875,1586.0,1554.0999755859375,1555.0999755859375,12895312,INFY
2025-12-04,1597.5999755859375,1599.0,1568.0,1568.0,12609619,INFY
2025-12-05,1616.199951171875,1631.800048828125,1600.0,1610.0,10344725,INFY
2025-12-08,1610.800048828125,1630.0,1600.199951171875,1617.0999755859375,7550413,INFY
2025-12-09,1599.0,1606.9000244140625,1582.4000244140625,1601.199951171875,6957599,INFY
2025-12-10,1584.800048828125,1608.0,1582.800048828125,1608.0,5116140,INFY
2025-12-11,1598.0,1607.4000244140625,1580.5,1598.0,5159319,INFY
2025-12-12,1598.199951171875,1601.800048828125,1582.5999755859375,1601.4000244140625,4633912,INFY
2025-12-15,1606.800048828125,1610.800048828125,1585.0,1585.0,4190558,INFY
2025-12-16,1592.9000244140625,1603.0,1585.5999755859375,1600.0,5499258,INFY
2025-12-17,1602.0,1606.9000244140625,1586.0,1587.199951171875,4817628,INFY
2025-12-18,1626.800048828125,1630.0,1606.699951171875,1610.5,6577293,INFY
2025-12-19,1638.699951171875,1654.9000244140625,1629.800048828125,1650.0,13149023,INFY
2025-12-22,1689.5999755859375,1693.199951171875,1664.0,1664.0,23098923,INFY
2025-12-23,1668.300048828125,1679.0,1656.4000244140625,1679.0,6593060,INFY
2025-12-24,1663.4000244140625,1667.5999755859375,1652.5,1661.0,4271167,INFY
2025-12-26,1656.0999755859375,1668.800048828125,1651.699951171875,1663.4000244140625,2006491,INFY
2025-12-29,1644.699951171875,1673.0999755859375,1637.0999755859375,1658.0,4062817,INFY
2025-12-30,1621.5999755859375,1647.9000244140625,1616.800048828125,1647.0,9395937,INFY
2025-12-31,1615.4000244140625,1628.5999755859375,1609.199951171875,1621.0,6538656,INFY
2026-01-01,1629.800048828125,1639.5999755859375,1614.0999755859375,1615.4000244140625,3658165,INFY
2026-01-02,1640.4000244140625,1643.5,1627.5,1635.9000244140625,2524526,INFY
2026-01-05,1606.4000244140625,1637.0,1583.0999755859375,1637.0,5917885,INFY
2026-01-06,1612.199951171875,1619.9000244140625,1599.0,1600.0999755859375,4466729,INFY
2026-01-07,1639.0,1642.0,1615.0,1615.0,4508079,INFY
2026-01-08,1613.300048828125,1644.300048828125,1608.5999755859375,1638.9000244140625,3942131,INFY
2026-01-09,1614.0999755859375,1631.300048828125,1607.0,1610.0,6816681,INFY
2026-01-12,1595.9000244140625,1613.300048828125,1592.5999755859375,1610.0999755859375,6985362,INFY
2026-01-13,1599.0,1618.0,1586.4000244140625,1618.0,8080618,INFY
2026-01-14,1599.800048828125,1617.0,1583.0999755859375,1588.0,7557157,INFY
2026-01-15,1599.800048828125,1599.800048828125,1599.800048828125,1599.800048828125,0,INFY
2026-01-16,1689.800048828125,1694.0,1653.4000244140625,1663.699951171875,19335957,INFY
2026-01-19,1681.199951171875,1685.0,1666.5,1685.0,5104958,INFY
2026-01-20,1658.9000244140625,1680.199951171875,1652.9000244140625,1673.0,6406503,INFY
2026-01-21,1654.4000244140625,1657.0,1631.199951171875,1651.0,6224582,INFY
2026-01-22,1663.5,1671.199951171875,1653.800048828125,1666.0,6228892,INFY
2026-01-23,1670.800048828125,1675.699951171875,1662.199951171875,1667.199951171875,5869137,INFY
2026-01-27,1682.699951171875,1689.4000244140625,1661.0999755859375,1685.800048828125,10673087,INFY
2026-01-28,1666.5,1688.800048828125,1650.0,1680.0,8588664,INFY
2026-01-29,1659.5,1666.5,1642.0999755859375,1658.0,4749582,INFY
2026-01-30,1641.0,1655.0,1618.0999755859375,1655.0,9207926,INFY
2026-02-02,1629.4000244140625,1662.0,1618.0,1662.0,6784887,INFY
2026-02-03,1656.0,1728.0,1653.0,1727.199951171875,8805868,INFY
2026-02-04,1535.800048828125,1584.9000244140625,1510.0999755859375,1574.0,28828622,INFY
2026-02-05,1520.199951171875,1551.0,1515.699951171875,1534.0,10628127,INFY
2026-02-06,1507.0999755859375,1525.0,1480.0,1522.0999755859375,13900866,INFY
2026-02-09,1497.199951171875,1528.0,1493.0,1522.0999755859375,8294615,INFY
2026-02-10,1497.800048828125,1515.9000244140625,1491.0,1500.0,8657000,INFY
2026-02-11,1471.9000244140625,1505.9000244140625,1469.0,1501.199951171875,7934411,INFY
2026-02-12,1386.0,1435.699951171875,1380.5,1428.9000244140625,26048896,INFY
2026-02-13,1369.0999755859375,1377.300048828125,1281.5,1293.9000244140625,45785709,INFY
2026-02-16,1365.5999755859375,1376.0,1338.300048828125,1373.699951171875,14621891,INFY
2026-02-17,1391.199951171875,1431.0,1367.0,1370.0,25347684,INFY
2026-02-18,1373.699951171875,1401.0,1345.300048828125,1390.9000244140625,20241373,INFY
2026-02-19,1370.5,1402.0,1363.199951171875,1385.0,14574228,INFY
2026-02-20,1353.199951171875,1365.0,1338.199951171875,1359.199951171875,12633552,INFY
2026-02-23,1327.5,1352.0,1318.0,1352.0,12887826,INFY
2026-02-24,1275.5,1303.5999755859375,1264.0999755859375,1301.0,27839061,INFY
2026-02-25,1290.0999755859375,1323.5999755859375,1286.199951171875,1286.199951171875,16669618,INFY
2026-02-26,1289.0999755859375,1314.0,1286.300048828125,1305.5,11493914,INFY
2026-02-27,1300.0999755859375,1335.0,1294.199951171875,1326.300048828125,23141724,INFY
2026-03-02,1288.9000244140625,1298.800048828125,1273.0,1291.0,9700361,INFY
2026-03-04,1307.4000244140625,1317.0,1292.0,1292.0,15154950,INFY
2026-03-05,1305.800048828125,1320.0,1290.0999755859375,1320.0,10362147,INFY
2026-03-06,1308.4000244140625,1327.199951171875,1303.0,1303.0,8724291,INFY
2026-03-09,1315.0,1318.0,1282.5,1290.0,10068514,INFY
2026-03-10,1295.5999755859375,1321.0,1284.0999755859375,1320.0,9600171,INFY
2026-03-11,1276.300048828125,1299.5,1271.300048828125,1288.0,7868891,INFY
2026-03-12,1265.800048828125,1278.5999755859375,1258.0,1272.5,7599940,INFY
2026-03-13,1248.300048828125,1269.5999755859375,1242.5999755859375,1251.0,7366098,INFY
2026-03-16,1249.800048828125,1254.300048828125,1224.199951171875,1240.199951171875,12314450,INFY
2026-03-17,1232.9000244140625,1245.0,1215.0999755859375,1245.0,11223276,INFY
2026-03-18,1267.0999755859375,1290.800048828125,1234.9000244140625,1238.0,12365381,INFY
2026-03-19,1220.800048828125,1255.0,1215.0999755859375,1244.199951171875,9156461,INFY
2026-03-20,1255.9000244140625,1264.800048828125,1229.199951171875,1242.0,27299975,INFY
2026-03-23,1256.800048828125,1261.0999755859375,1227.4000244140625,1238.199951171875,12420293,INFY
2026-03-24,1278.300048828125,1297.0,1251.0,1269.0,13613495,INFY
2026-03-25,1279.0999755859375,1290.5999755859375,1257.0999755859375,1270.0,10824030,INFY
2026-03-27,1269.699951171875,1294.800048828125,1263.199951171875,1285.199951171875,13092541,INFY
2026-03-30,1250.5999755859375,1265.5,1243.0,1250.0,14108486,INFY
2026-04-01,1275.699951171875,1303.0,1269.5,1290.0,8137156,INFY
2026-04-02,1300.800048828125,1305.4000244140625,1259.800048828125,1260.0,12873492,INFY
2026-04-06,1306.199951171875,1320.0,1299.0,1301.4000244140625,10208682,INFY
2026-04-07,1339.4000244140625,1345.0999755859375,1293.5,1302.0,15355792,INFY
2026-04-08,1346.199951171875,1376.9000244140625,1331.0,1349.0,16030133,INFY
2025-01-01,774.6536865234375,780.2998502446493,770.0385494082041,770.8240906349993,581539,IRCTC
2025-01-02,780.152587890625,781.6255002654972,769.8422012665199,770.8241428497679,809623,IRCTC
2025-01-03,781.9200439453125,789.9719766384736,776.7157657191208,776.7157657191208,862604,IRCTC
2025-01-06,756.4386596679688,788.449990606261,751.185296275045,781.6254847515501,1421671,IRCTC
2025-01-07,761.3975830078125,769.2531162452087,756.0950740993851,756.0950740993851,676868,IRCTC
2025-01-08,755.9969482421875,761.9867687137873,748.0431844131017,758.1571720627869,783013,IRCTC
2025-01-09,750.0070190429688,757.1751810895208,748.2395360624844,756.2423844699333,607785,IRCTC
2025-01-10,765.079833984375,786.2897489141516,741.6604904859134,758.844468763775,6281464,IRCTC
2025-01-13,733.363037109375,765.07979774633,730.3190422175168,765.07979774633,1644645,IRCTC
2025-01-14,744.0662841796875,750.8907906236192,734.4923531064418,734.4923531064418,1291155,IRCTC
2025-01-15,745.833740234375,756.4878426961553,741.4150029754792,746.2756259468565,865946,IRCTC
2025-01-16,749.4178466796875,759.2372627527102,748.2395047643329,754.1311544081465,1389758,IRCTC
2025-01-17,765.12890625,767.7801605550096,745.3918441420027,750.203381952315,1489997,IRCTC
2025-01-20,776.8139038085938,786.2896633437699,761.2010697750271,766.8963185407235,1405314,IRCTC
2025-01-21,768.565673828125,783.098396983037,767.1418465742918,777.6486332915646,873078,IRCTC
